plant,installs,never_online,fail_pct,installers
DSTL K1PLANT,117,81,69.23,3
MCU,125,34,27.2,6
DEPOT_RCM,30,7,23.33,2
RCM,511,98,19.18,3
SATNA PLANT,51,9,17.65,3
10 NO GATE,32,5,15.63,1
GGVL,184,28,15.22,2
GGU,780,105,13.46,4
DEPOT_MCU,350,42,12,8
CBT,613,67,10.93,8
MCP-9233,93,10,10.75,5
DEPOT_GGU,700,74,10.57,6
BANDHDIH RAILWAY SIDING,64,6,9.38,2
PCP-9214,124,10,8.06,5
SURAT CEMENT PLANT,183,13,7.1,3
SATNA PLANT LINE 2,184,12,6.52,7
MCP-9107,62,4,6.45,3
SCL_SIDHEEGRAM,78,5,6.41,4
ACP-9231,97,6,6.19,6
DEPOT_CBT,1082,63,5.82,10
SATNA PLANT LINE 1,139,8,5.76,6
JCP-9234,89,5,5.62,2
PCP-5150,359,18,5.01,7
KHORDA,40,2,5,2
KADAPPA,3125,154,4.93,2
SCL_RANAVAV,44,2,4.55,3
JCP-9105,197,7,3.55,4
0,204,7,3.43,4
ACP-9106,194,6,3.09,8
HCP,98,3,3.06,2
ARASMETA,103,3,2.91,3
NCP-9117,1294,36,2.78,18
SCP-9232,76,2,2.63,7
NIMBOL,207,5,2.42,5
HCP-9116,127,3,2.36,7
ESL STEEL LTD,290,6,2.07,1
BCP-5153,54,1,1.85,5
CCP-9115,746,13,1.74,12
OCP-5152,179,3,1.68,5
RCP-9211,990,15,1.52,10
RCP-5151,264,3,1.14,8
CCP,147,1,0.68,3
SCP-9104,180,1,0.56,7
KALAMBOLI,450,1,0.22,12
BCP-9216,58,0,0,4
DDU RAIL SIDING,81,0,0,2
DGFC_TEST,144,0,0,3
HCIL_IMLAI,73,0,0,4
OCP-9215,70,0,0,3
RISDA,178,0,0,7
SONADIH,50,0,0,2
