vehicle_no,plant_name,transporter_name,deployment,status,device_type,vendor,remark,installed_on,days_uncovered,active_trip
GI16AV3319,DSTL K1PLANT,JAYSONS TRANSWAYS PVT LTD,UNDEPLOYED,true,-,-,Re-Mapping,2026-05-15,86,-
GI16AV9837,DSTL K1PLANT,JAYSONS TRANSWAYS PVT LTD,UNDEPLOYED,true,-,-,Re-Mapping,2026-05-15,86,-
GI16AV9853,DSTL K1PLANT,JAYSONS TRANSWAYS PVT LTD,UNDEPLOYED,true,-,-,Re-Mapping,2026-05-15,86,-
GI16AV9893,DSTL K1PLANT,JAYSONS TRANSWAYS PVT LTD,UNDEPLOYED,true,-,-,Re-Mapping,2026-05-15,86,-
GI16AW1341,DSTL K1PLANT,JAYSONS TRANSWAYS PVT LTD,UNDEPLOYED,true,-,-,Re-Mapping,2026-05-15,86,-
GI16AW3116,DSTL K1PLANT,JAYSONS TRANSWAYS PVT LTD,UNDEPLOYED,true,-,-,Re-Mapping,2026-05-15,86,-
GI16AW3207,DSTL K1PLANT,JAYSONS TRANSWAYS PVT LTD,UNDEPLOYED,true,-,-,Re-Mapping,2026-05-15,86,-
GI16AW3241,DSTL K1PLANT,JAYSONS TRANSWAYS PVT LTD,UNDEPLOYED,true,-,-,Re-Mapping,2026-05-15,86,-
GI16AW3251,DSTL K1PLANT,JAYSONS TRANSWAYS PVT LTD,UNDEPLOYED,true,-,-,Re-Mapping,2026-05-15,86,-
GI16AW3446,DSTL K1PLANT,JAYSONS TRANSWAYS PVT LTD,UNDEPLOYED,true,-,-,Re-Mapping,2026-05-15,86,-
GI16AW3478,DSTL K1PLANT,JAYSONS TRANSWAYS PVT LTD,UNDEPLOYED,true,-,-,Re-Mapping,2026-05-15,86,-
GJ06AZ1054,DSTL K1PLANT,KHATRI ROADLINES,UNDEPLOYED,true,-,-,Re-Mapping,2026-05-15,86,-
GJ06AZ1381,DSTL K1PLANT,KHATRI ROADLINES,UNDEPLOYED,true,-,-,Re-Mapping,2026-05-15,86,-
GJ06AZ1383,DSTL K1PLANT,KHATRI ROADLINES,UNDEPLOYED,true,-,-,Re-Mapping,2026-05-15,86,-
GJ06BT1582,DSTL K1PLANT,KHATRI ROADLINES,UNDEPLOYED,true,-,-,Re-Mapping,2026-05-15,86,-
GJ06BT1610,DSTL K1PLANT,KHATRI ROADLINES,UNDEPLOYED,true,-,-,Re-Mapping,2026-05-15,86,-
GJ06BT1940,DSTL K1PLANT,KHATRI ROADLINES,UNDEPLOYED,true,-,-,Re-Mapping,2026-05-15,86,-
MH05AM0765,DSTL K1PLANT,CJ DARCL LOGISTICS LIMITED,DEPLOYED,true,-,-,New Installation,2026-05-15,86,-
MH06AQ7627,DSTL K1PLANT,CJ DARCL LOGISTICS LIMITED,DEPLOYED,true,-,-,Re-Mapping,2026-05-15,86,-
MH06AQ8999,DSTL K1PLANT,NA,UNDEPLOYED,true,-,-,New Installation,2026-05-15,86,-
MH06AQ9388,DSTL K1PLANT,CJ DARCL LOGISTICS LIMITED,DEPLOYED,true,-,-,Re-Mapping,2026-05-15,86,-
MH12AZ4440,DSTL K1PLANT,NAVALAKHA TRANSLINES,UNDEPLOYED,true,-,-,Re-Mapping,2026-05-15,86,-
MH12FZ4440,DSTL K1PLANT,NAVALAKHA TRANSLINES,UNDEPLOYED,true,-,-,Re-Mapping,2026-05-15,86,-
MH12FZ4493,DSTL K1PLANT,NAVALAKHA TRANSLINES,UNDEPLOYED,true,-,-,Re-Mapping,2026-05-15,86,-
MH12FZ4524,DSTL K1PLANT,NAVALAKHA TRANSLINES,UNDEPLOYED,true,-,-,Re-Mapping,2026-05-15,86,-
MH12FZ4815,DSTL K1PLANT,NAVALAKHA TRANSLINES,UNDEPLOYED,true,-,-,Re-Mapping,2026-05-15,86,-
MH12FZ5904,DSTL K1PLANT,NAVALAKHA TRANSLINES,UNDEPLOYED,true,-,-,Re-Mapping,2026-05-15,86,-
MH12FZ5913,DSTL K1PLANT,NAVALAKHA TRANSLINES,UNDEPLOYED,true,-,-,Re-Mapping,2026-05-15,86,-
MH12HD2064,DSTL K1PLANT,NAVALAKHA TRANSLINES,UNDEPLOYED,true,-,-,Re-Mapping,2026-05-15,86,-
MH12PQ1521,DSTL K1PLANT,NAVALAKHA TRANSLINES,UNDEPLOYED,true,-,-,Re-Mapping,2026-05-15,86,-
MH12PQ1522,DSTL K1PLANT,NAVALAKHA TRANSLINES,UNDEPLOYED,true,-,-,Re-Mapping,2026-05-15,86,-
MH12QG1713,DSTL K1PLANT,NAVALAKHA TRANSLINES,UNDEPLOYED,true,-,-,Re-Mapping,2026-05-15,86,-
MH12QG1714,DSTL K1PLANT,NAVALAKHA TRANSLINES,UNDEPLOYED,true,-,-,Re-Mapping,2026-05-15,86,-
MH12SF1826,DSTL K1PLANT,NAVALAKHA TRANSLINES,UNDEPLOYED,true,-,-,Re-Mapping,2026-05-15,86,-
MH12SF1827,DSTL K1PLANT,NAVALAKHA TRANSLINES,UNDEPLOYED,true,-,-,Re-Mapping,2026-05-15,86,-
MH12SF2870,DSTL K1PLANT,NAVALAKHA TRANSLINES,UNDEPLOYED,true,-,-,Re-Mapping,2026-05-15,86,-
MH12SX4354,DSTL K1PLANT,NAVALAKHA TRANSLINES,UNDEPLOYED,true,-,-,Re-Mapping,2026-05-15,86,-
MH12SX4356,DSTL K1PLANT,NAVALAKHA TRANSLINES,UNDEPLOYED,true,-,-,Re-Mapping,2026-05-15,86,-
MH18BG0104,DSTL K1PLANT,CJ DARCL LOGISTICS LIMITED,DEPLOYED,true,-,-,Re-Mapping,2026-05-15,86,-
MH40BL7970,DSTL K1PLANT,CJ DARCL LOGISTICS LIMITED,UNDEPLOYED,true,-,-,Re-Mapping,2026-05-15,86,-
MH43BP5423,DSTL K1PLANT,CJ DARCL LOGISTICS LIMITED,DEPLOYED,true,-,-,Re-Mapping,2026-05-15,86,-
MH43BP5671,DSTL K1PLANT,CJ DARCL LOGISTICS LIMITED,UNDEPLOYED,true,-,-,New Installation,2026-05-15,86,-
MH43CE3575,DSTL K1PLANT,NA,DEPLOYED,true,-,-,New Installation,2026-05-15,86,-
MH43CE4967,DSTL K1PLANT,CJ DARCL LOGISTICS LIMITED,DEPLOYED,true,-,-,Re-Mapping,2026-05-15,86,-
MH43CK4263,DSTL K1PLANT,CJ DARCL LOGISTICS LIMITED,UNDEPLOYED,true,-,-,Re-Mapping,2026-05-15,86,-
MH43CQ0681,DSTL K1PLANT,CJ DARCL LOGISTICS LIMITED,DEPLOYED,true,-,-,Re-Mapping,2026-05-15,86,-
MH43U6035,DSTL K1PLANT,CJ DARCL LOGISTICS LIMITED,DEPLOYED,true,-,-,Re-Mapping,2026-05-15,86,-
MH43U6288,DSTL K1PLANT,CJ DARCL LOGISTICS LIMITED,UNDEPLOYED,true,-,-,Re-Mapping,2026-05-15,86,-
MH43U7188,DSTL K1PLANT,CJ DARCL LOGISTICS LIMITED,DEPLOYED,true,-,-,Re-Mapping,2026-05-15,86,-
MH43Y2198,DSTL K1PLANT,CJ DARCL LOGISTICS LIMITED,DEPLOYED,true,-,-,Re-Mapping,2026-05-15,86,-
MH46AF0374,DSTL K1PLANT,CJ DARCL LOGISTICS LIMITED,DEPLOYED,true,-,-,Re-Mapping,2026-05-15,86,-
MH46AF8164,DSTL K1PLANT,NA,DEPLOYED,true,-,-,Re-Mapping,2026-05-15,86,-
MH46AF8165,DSTL K1PLANT,CJ DARCL LOGISTICS LIMITED,DEPLOYED,true,-,-,Re-Mapping,2026-05-15,86,-
MH46AR1729,DSTL K1PLANT,CJ DARCL LOGISTICS LIMITED,DEPLOYED,true,-,-,Re-Mapping,2026-05-15,86,-
MH46BU7025,DSTL K1PLANT,NAVALAKHA TRANSLINES,UNDEPLOYED,true,-,-,Re-Mapping,2026-05-15,86,-
MH46CL6832,DSTL K1PLANT,CJ DARCL LOGISTICS LIMITED,DEPLOYED,true,-,-,Re-Mapping,2026-05-15,86,-
MH46H2719,DSTL K1PLANT,CJ DARCL LOGISTICS LIMITED,DEPLOYED,true,-,-,Re-Mapping,2026-05-15,86,-
MH46H4162,DSTL K1PLANT,NA,DEPLOYED,true,-,-,Re-Mapping,2026-05-15,86,-
MH46H6283,DSTL K1PLANT,CJ DARCL LOGISTICS LIMITED,DEPLOYED,true,-,-,Re-Mapping,2026-05-15,86,-
NL01AB0391,DSTL K1PLANT,KHATRI ROADLINES,UNDEPLOYED,true,-,-,Re-Mapping,2026-05-15,86,-
NL01AB0397,DSTL K1PLANT,KHATRI ROADLINES,UNDEPLOYED,true,-,-,Re-Mapping,2026-05-15,86,-
NL01L1871,DSTL K1PLANT,NA,DEPLOYED,true,-,-,Re-Installation,2026-05-15,86,-
NL01L4329,DSTL K1PLANT,NA,DEPLOYED,true,-,-,New Installation,2026-05-15,86,-
NL01L4358,DSTL K1PLANT,CJ DARCL LOGISTICS LIMITED,DEPLOYED,true,-,-,Re-Mapping,2026-05-15,86,-
NL01L7223,DSTL K1PLANT,NA,DEPLOYED,true,-,-,New Installation,2026-05-15,86,-
NL01L7235,DSTL K1PLANT,NA,DEPLOYED,true,-,-,Re-Mapping,2026-05-15,86,-
NL01N1071,DSTL K1PLANT,NAVALAKHA TRANSLINES,UNDEPLOYED,true,-,-,Re-Mapping,2026-05-15,86,-
NL01N3268,DSTL K1PLANT,NAVALAKHA TRANSLINES,UNDEPLOYED,true,-,-,Re-Mapping,2026-05-15,86,-
NL01N3269,DSTL K1PLANT,NAVALAKHA TRANSLINES,UNDEPLOYED,true,-,-,Re-Mapping,2026-05-15,86,-
NL01Q0741,DSTL K1PLANT,CJ DARCL LOGISTICS LIMITED,DEPLOYED,true,-,-,Re-Mapping,2026-05-15,86,-
NL01Q6082,DSTL K1PLANT,NAVALAKHA TRANSLINES,UNDEPLOYED,true,-,-,Re-Mapping,2026-05-15,86,-
NL03A3052,DSTL K1PLANT,CJ DARCL LOGISTICS LIMITED,DEPLOYED,true,-,-,New Installation,2026-05-15,86,-
NL04D8942,DSTL K1PLANT,CJ DARCL LOGISTICS LIMITED,DEPLOYED,true,-,-,Re-Mapping,2026-05-15,86,-
PB04V1886,DSTL K1PLANT,CJ DARCL LOGISTICS LIMITED,DEPLOYED,true,-,-,Re-Mapping,2026-05-15,86,-
NL01N4408,PCL JNPT,NA,UNDEPLOYED,true,-,-,Re-Mapping,2026-05-15,86,-
NL01AB0392,PCL TALOJA,NA,UNDEPLOYED,true,-,-,Re-Mapping,2026-05-15,86,-
NL01Q6083,PCL TALOJA,NA,UNDEPLOYED,true,-,-,Re-Mapping,2026-05-15,86,-
